Zodis               Kiekis
------------------------------
a                   54
about               2
address             4
addresses           12
adds                2
advanced            3
again               2
all                 3
already             2
also                5
an                  2
and                 34
another             3
answer              3
answers             2
appear              2
appears             11
are                 10
as                  12
ask                 4
assignment          3
associative         4
be                  19
because             4
before              2
but                 9
by                  2
c                   3
can                 14
chosen              3
clean               2
cleaning            3
clear               2
code                9
compiler            2
contain             3
container           3
containers          5
could               3
count               2
counted             2
counter             3
counts              2
creates             3
cross               4
data                2
each                3
easier              3
engineering         2
enough              4
every               4
exercise            2
file                19
files               10
final               2
finds               2
first               3
for                 15
form                2
found               3
from                4
functions           5
goal                2
good                4
grouping            2
habit               2
have                2
help                3
helpful             2
how                 2
if                  8
important           3
in                  14
information         2
input               4
into                4
is                  30
it                  26
its                 2
keep                2
keeps               3
know                3
large               2
larger              2
lecturer            3
library             2
line                14
long                2
make                2
many                9
map                 5
may                 6
mention             4
more                4
near                2
new                 2
not                 12
number              2
numbers             6
of                  9
often               3
on                  4
once                4
one                 2
only                7
or                  3
output              8
page                2
part                3
patterns            3
prepared            2
program             22
project             3
punctuation         3
read                2
reading             4
readme              2
reads               4
real                2
reference           4
references          2
repeated            5
repository          3
result              4
run                 3
same                4
sample              3
search              2
see                 2
set                 4
several             3
short               2
should              20
show                4
simple              4
small               6
smaller             2
sorted              2
source              2
standard            2
step                2
still               3
stores              4
student             7
studio              2
such                6
systems             2
table               2
task                4
testing             3
text                13
than                2
that                21
the                 84
them                3
then                8
these               6
they                7
this                7
three               2
times               7
to                  16
too                 3
understandable      2
url                 4
used                2
useful              4
uses                5
vector              2
very                2
visual              2
was                 5
way                 2
web                 4
what                3
when                7
where               2
which               2
while               2
why                 3
with                5
without             4
word                13
words               14
work                4
write               2
writes              2
writing             2
written             4
year                2
